tag,model,num_pages,Accuracy,Precision,Recall,F1-score,TPR,FPR
legacyPadl100_pin0p025_pout0p075_L7_G1,TikTok,95,0.6398568421052633,0.7191200000000004,0.6404663157894739,0.5921747368421052,0.8548568421052632,0.57392
legacyPadl100_pin0p025_pout0p075_L7_G1,VarCNN,95,0.6474557894736841,0.5975105263157894,0.6475905263157895,0.5803315789473684,0.7041294736842106,0.4089463157894736
legacyPadl100_pin0p025_pout0p075_L7_G1,RF,95,0.641458947368421,0.7270494736842109,0.6420747368421054,0.596378947368421,0.8745863157894739,0.5904326315789473
legacyPadl100_pin0p025_pout0p075_L9_G1,DF,95,0.5857515789473684,0.44077473684210516,0.5863494736842105,0.4769178947368421,0.6388978947368422,0.4661957894736842
legacyPadl100_pin0p025_pout0p075_L9_G1,TikTok,95,0.5066989473684209,0.2623842105263157,0.5071968421052632,0.343762105263158,0.41925684210526315,0.40486315789473687
legacyPadl100_pin0p025_pout0p075_L9_G1,VarCNN,95,0.49979157894736814,0.24989789473684207,0.5,0.33320842105263165,0.43157894736842106,0.43157894736842106
legacyPadl100_pin0p025_pout0p075_L9_G1,RF,95,0.4993705263157893,0.24968736842105257,0.5,0.33301789473684223,0.47368421052631576,0.47368421052631576
legacyPadl100_pin0p02_pout0p06_L1_G1,DF,95,0.6326621052631579,0.5216473684210526,0.6322210526315786,0.5435663157894737,0.4464010526315789,0.1819610526315789
legacyPadl100_pin0p02_pout0p06_L1_G1,TikTok,95,0.7563042105263158,0.751918947368421,0.7563589473684209,0.7339168421052633,0.7563189473684206,0.2436063157894736
legacyPadl100_pin0p02_pout0p06_L1_G1,VarCNN,95,0.7285789473684208,0.7566231578947368,0.7290484210526313,0.7040010526315792,0.886335789473684,0.4282431578947368
legacyPadl100_pin0p02_pout0p06_L1_G1,RF,95,0.7676789473684209,0.8018284210526312,0.768034736842105,0.7523515789473684,0.8939336842105264,0.3578663157894736
legacyPadl100_pin0p02_pout0p06_L1_G3,DF,95,0.59008,0.5052673684210526,0.5899842105263157,0.506037894736842,0.5478894736842104,0.36792421052631596
legacyPadl100_pin0p02_pout0p06_L1_G3,TikTok,95,0.6676431578947367,0.6548294736842105,0.6677105263157894,0.6371694736842104,0.6475010526315788,0.3120821052631579
legacyPadl100_pin0p02_pout0p06_L1_G3,VarCNN,95,0.6929610526315789,0.7310052631578948,0.6933978947368421,0.6724200000000002,0.8486768421052634,0.4618831578947368
legacyPadl100_pin0p02_pout0p06_L1_G3,RF,95,0.6858663157894734,0.7025463157894737,0.6860631578947367,0.6745547368421054,0.7621936842105265,0.39008631578947384
legacyPadl100_pin0p02_pout0p06_L1_G5,DF,95,0.6139978947368421,0.6002747368421051,0.614057894736842,0.5688410526315788,0.6450389473684209,0.4169178947368421
legacyPadl100_pin0p02_pout0p06_L1_G5,TikTok,95,0.6014326315789476,0.5580147368421055,0.6010999999999999,0.549438947368421,0.49051157894736847,0.28830736842105265
legacyPadl100_pin0p02_pout0p06_L1_G5,VarCNN,95,0.6936621052631581,0.7250926315789474,0.6940789473684212,0.6696926315789474,0.8457736842105262,0.45761894736842107
legacyPadl100_pin0p02_pout0p06_L1_G5,RF,95,0.6506473684210525,0.6741463157894734,0.6508400000000001,0.6398947368421053,0.7284336842105266,0.4267526315789473
legacyPadl100_pin0p02_pout0p06_L1_G7,DF,95,0.6007873684210526,0.5963884210526316,0.6007852631578947,0.5529273684210528,0.5578484210526315,0.35627894736842103
legacyPadl100_pin0p02_pout0p06_L1_G7,TikTok,95,0.5729989473684212,0.528961052631579,0.57256,0.5086978947368419,0.43332315789473685,0.2882115789473683
legacyPadl100_pin0p02_pout0p06_L1_G7,VarCNN,95,0.6764494736842104,0.6946905263157895,0.676957894736842,0.6440273684210522,0.8474589473684209,0.49354000000000015
legacyPadl100_pin0p02_pout0p06_L1_G7,RF,95,0.6232873684210524,0.6549052631578945,0.623477894736842,0.6074642105263158,0.691725263157895,0.44477157894736835
legacyPadl100_pin0p02_pout0p06_L1_G9,DF,95,0.5886978947368421,0.607557894736842,0.5886800000000001,0.5446631578947368,0.5772610526315789,0.3998947368421052
legacyPadl100_pin0p02_pout0p06_L1_G9,TikTok,95,0.5463073684210524,0.5025578947368421,0.5461252631578947,0.470934736842105,0.47310105263157876,0.38084315789473694
legacyPadl100_pin0p02_pout0p06_L1_G9,VarCNN,95,0.6675989473684212,0.6865863157894736,0.6681431578947369,0.6304915789473682,0.8719989473684208,0.5357084210526317
legacyPadl100_pin0p02_pout0p06_L1_G9,RF,95,0.5992494736842106,0.6367884210526316,0.5994705263157898,0.5757684210526317,0.6830242105263158,0.48407473684210534
legacyPadl100_pin0p02_pout0p06_L3_G1,DF,95,0.6751094736842104,0.6299915789473683,0.6755410526315787,0.6188399999999997,0.831277894736842,0.4801947368421052
legacyPadl100_pin0p02_pout0p06_L3_G1,TikTok,95,0.7573999999999996,0.7847200000000002,0.7577294736842102,0.7494178947368417,0.8715884210526317,0.35613052631578956
legacyPadl100_pin0p02_pout0p06_L3_G1,VarCNN,95,0.7006273684210527,0.7134515789473683,0.7009589473684213,0.6691947368421053,0.7899894736842106,0.3880726315789473
legacyPadl100_pin0p02_pout0p06_L3_G1,RF,95,0.7597105263157891,0.7928936842105264,0.7600578947368417,0.7520968421052627,0.8939757894736841,0.3738621052631579
